search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task08.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task09.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task10.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task11.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task12.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task13.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task14.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task15.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task16.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task17.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task18.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task19.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/freecell/task20.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task01.pddl,239,0.019
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task02.pddl,1831,0.1
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task03.pddl,11743,0.66
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task04.pddl,68567,4.5
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task05.pddl,376783,4.4e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task06.pddl,1982407,2.3e+02
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task07.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task08.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task09.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task10.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task11.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task12.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task13.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task14.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task15.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task16.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task17.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task18.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task19.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/gripper/task20.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/logistics/task01.pddl,11180,1.4
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/logistics/task02.pddl,9623,0.78
